$MeshFile
Vertex	X	YZ
0	-0.5	0.50
1	-0.333333	0.50
2	-0.166667	0.50
3	0	0.50
4	0.166667	0.50
5	0.333333	0.50
6	0.5	0.50
7	-0.5	0.3333330
8	-0.333333	0.3333330
9	-0.166667	0.3333330
10	0	0.3333330
11	0.166667	0.3333330
12	0.333333	0.3333330
13	0.5	0.3333330
14	-0.5	0.1666670
15	-0.333333	0.1666670
16	-0.166667	0.1666670
17	0	0.1666670
18	0.166667	0.1666670
19	0.333333	0.1666670
20	0.5	0.1666670
21	-0.5	00
22	-0.333333	00
23	-0.166667	00
24	0	00
25	0.166667	00
26	0.333333	00
27	0.5	00
28	-0.5	-0.1666670
29	-0.333333	-0.1666670
30	-0.166667	-0.1666670
31	0	-0.1666670
32	0.166667	-0.1666670
33	0.333333	-0.1666670
34	0.5	-0.1666670
35	-0.5	-0.3333330
36	-0.333333	-0.3333330
37	-0.166667	-0.3333330
38	0	-0.3333330
39	0.166667	-0.3333330
40	0.333333	-0.3333330
41	0.5	-0.3333330
42	-0.5	-0.50
43	-0.333333	-0.50
44	-0.166667	-0.50
45	0	-0.50
46	0.166667	-0.50
47	0.333333	-0.50
48	0.5	-0.50
