2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	1	 Ures: 	4.9130109876e-02	 Vres: 	2.8573092893e-03	 
Iteration no:	2	 Ures: 	3.7790468373e-02	 Vres: 	4.4413048821e-03	 
Iteration no:	3	 Ures: 	2.9278507920e-02	 Vres: 	5.3132310937e-03	 
Iteration no:	4	 Ures: 	2.3382075563e-02	 Vres: 	6.6008342377e-03	 
Iteration no:	5	 Ures: 	1.9141797984e-02	 Vres: 	7.7033847234e-03	 
Iteration no:	6	 Ures: 	1.6191369947e-02	 Vres: 	8.6342825645e-03	 
Iteration no:	7	 Ures: 	1.4167272742e-02	 Vres: 	9.5056636246e-03	 
Iteration no:	8	 Ures: 	1.2897340347e-02	 Vres: 	1.0285087355e-02	 
Iteration no:	9	 Ures: 	1.2291642105e-02	 Vres: 	1.0961179397e-02	 
Iteration no:	10	 Ures: 	1.2121474655e-02	 Vres: 	1.1449566489e-02	 
Iteration no:	11	 Ures: 	1.2314990440e-02	 Vres: 	1.1733021888e-02	 
Iteration no:	12	 Ures: 	1.2605633781e-02	 Vres: 	1.1741073749e-02	 
Iteration no:	13	 Ures: 	1.2972340423e-02	 Vres: 	1.1501332590e-02	 
Iteration no:	14	 Ures: 	1.3223833428e-02	 Vres: 	1.0987841851e-02	 
Iteration no:	15	 Ures: 	1.3378212237e-02	 Vres: 	1.0272080932e-02	 
Iteration no:	16	 Ures: 	1.3316446227e-02	 Vres: 	9.3624709164e-03	 
Iteration no:	17	 Ures: 	1.3080736121e-02	 Vres: 	8.3510923964e-03	 
Iteration no:	18	 Ures: 	1.2624737673e-02	 Vres: 	7.2621532433e-03	 
Iteration no:	19	 Ures: 	1.2021976371e-02	 Vres: 	6.1954067668e-03	 
Iteration no:	20	 Ures: 	1.1290071351e-02	 Vres: 	5.1983224593e-03	 
Iteration no:	21	 Ures: 	1.0519425384e-02	 Vres: 	4.4139204300e-03	 
Iteration no:	22	 Ures: 	9.7593865864e-03	 Vres: 	3.9329610972e-03	 
Iteration no:	23	 Ures: 	9.0762196074e-03	 Vres: 	3.7604061027e-03	 
Iteration no:	24	 Ures: 	8.4991218347e-03	 Vres: 	3.7267264575e-03	 
Iteration no:	25	 Ures: 	8.0271486647e-03	 Vres: 	3.7079781566e-03	 
Iteration no:	26	 Ures: 	7.6530657456e-03	 Vres: 	3.6417878369e-03	 
Iteration no:	27	 Ures: 	7.3527006257e-03	 Vres: 	3.5077743185e-03	 
Iteration no:	28	 Ures: 	7.1652072147e-03	 Vres: 	3.3031301010e-03	 
Iteration no:	29	 Ures: 	7.1733719213e-03	 Vres: 	3.0380014463e-03	 
Iteration no:	30	 Ures: 	7.3673719888e-03	 Vres: 	2.7299154165e-03	 
Iteration no:	31	 Ures: 	7.5947293767e-03	 Vres: 	2.4044649691e-03	 
Iteration no:	32	 Ures: 	7.7395049994e-03	 Vres: 	2.1117621042e-03	 
Iteration no:	33	 Ures: 	7.7731673159e-03	 Vres: 	1.9978366131e-03	 
Iteration no:	34	 Ures: 	7.6763678243e-03	 Vres: 	2.1203373986e-03	 
Iteration no:	35	 Ures: 	7.4597093333e-03	 Vres: 	2.3836072624e-03	 
Iteration no:	36	 Ures: 	7.1261811650e-03	 Vres: 	2.6611698488e-03	 
Iteration no:	37	 Ures: 	6.6990354743e-03	 Vres: 	2.9257545218e-03	 
Iteration no:	38	 Ures: 	6.1929274761e-03	 Vres: 	3.1449121954e-03	 
Iteration no:	39	 Ures: 	5.6400227676e-03	 Vres: 	3.3258259095e-03	 
Iteration no:	40	 Ures: 	5.0629265723e-03	 Vres: 	3.4464821317e-03	 
Iteration no:	41	 Ures: 	4.5005031259e-03	 Vres: 	3.5172656895e-03	 
Iteration no:	42	 Ures: 	3.9814679532e-03	 Vres: 	3.5233504814e-03	 
Iteration no:	43	 Ures: 	3.5542855550e-03	 Vres: 	3.4806913922e-03	 
Iteration no:	44	 Ures: 	3.2800054977e-03	 Vres: 	3.3846099897e-03	 
Iteration no:	45	 Ures: 	3.2474153088e-03	 Vres: 	3.2576418065e-03	 
Iteration no:	46	 Ures: 	3.4411589268e-03	 Vres: 	3.1039170606e-03	 
Iteration no:	47	 Ures: 	3.7363975680e-03	 Vres: 	2.9498554792e-03	 
Iteration no:	48	 Ures: 	4.0476703280e-03	 Vres: 	2.8033077885e-03	 
Iteration no:	49	 Ures: 	4.3268617345e-03	 Vres: 	2.6856678222e-03	 
Iteration no:	50	 Ures: 	4.5509575505e-03	 Vres: 	2.5939646147e-03	 
Iteration no:	51	 Ures: 	4.7052859049e-03	 Vres: 	2.5280878685e-03	 
Iteration no:	52	 Ures: 	4.7846252031e-03	 Vres: 	2.4718940870e-03	 
Iteration no:	53	 Ures: 	4.7874759552e-03	 Vres: 	2.4195314261e-03	 
Iteration no:	54	 Ures: 	4.7179226752e-03	 Vres: 	2.3601997194e-03	 
Iteration no:	55	 Ures: 	4.5823993106e-03	 Vres: 	2.2924637870e-03	 
Iteration no:	56	 Ures: 	4.3912771502e-03	 Vres: 	2.2123249055e-03	 
Iteration no:	57	 Ures: 	4.1559046801e-03	 Vres: 	2.1229530704e-03	 
Iteration no:	58	 Ures: 	3.8903220874e-03	 Vres: 	2.0249189495e-03	 
Iteration no:	59	 Ures: 	3.6077010805e-03	 Vres: 	1.9236642147e-03	 
Iteration no:	60	 Ures: 	3.3226228182e-03	 Vres: 	1.8212134672e-03	 
Iteration no:	61	 Ures: 	3.0468904431e-03	 Vres: 	1.7236795366e-03	 
Iteration no:	62	 Ures: 	2.7951111255e-03	 Vres: 	1.6347443221e-03	 
Iteration no:	63	 Ures: 	2.5871711834e-03	 Vres: 	1.5653707591e-03	 
Iteration no:	64	 Ures: 	2.4747411595e-03	 Vres: 	1.5292833519e-03	 
