2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	1	 Ures: 	1.8650015658e-02	 Vres: 	3.2068404461e-04	 
Iteration no:	2	 Ures: 	2.1509582882e-02	 Vres: 	7.9273430759e-04	 
Iteration no:	3	 Ures: 	1.5137323225e-02	 Vres: 	1.3249057157e-03	 
Iteration no:	4	 Ures: 	1.1469836934e-02	 Vres: 	1.8212703825e-03	 
Iteration no:	5	 Ures: 	9.0765928543e-03	 Vres: 	2.2407701511e-03	 
Iteration no:	6	 Ures: 	7.3804857635e-03	 Vres: 	2.5836245304e-03	 
Iteration no:	7	 Ures: 	6.1222517205e-03	 Vres: 	2.8611470950e-03	 
Iteration no:	8	 Ures: 	5.1773022710e-03	 Vres: 	3.0850126938e-03	 
Iteration no:	9	 Ures: 	4.4838446282e-03	 Vres: 	3.2637854776e-03	 
Iteration no:	10	 Ures: 	4.0075124310e-03	 Vres: 	3.4021891823e-03	 
Iteration no:	11	 Ures: 	3.7190133617e-03	 Vres: 	3.5015749009e-03	 
Iteration no:	12	 Ures: 	3.5813031606e-03	 Vres: 	3.5610276406e-03	 
Iteration no:	13	 Ures: 	3.5486970470e-03	 Vres: 	3.5787515117e-03	 
Iteration no:	14	 Ures: 	3.5747107899e-03	 Vres: 	3.5533828703e-03	 
Iteration no:	15	 Ures: 	3.6201406923e-03	 Vres: 	3.4849536822e-03	 
Iteration no:	16	 Ures: 	3.6565051842e-03	 Vres: 	3.3753808899e-03	 
Iteration no:	17	 Ures: 	3.6656089509e-03	 Vres: 	3.2285153264e-03	 
Iteration no:	18	 Ures: 	3.6375847711e-03	 Vres: 	3.0498824498e-03	 
Iteration no:	19	 Ures: 	3.5688785588e-03	 Vres: 	2.8462709777e-03	 
Iteration no:	20	 Ures: 	3.4606682296e-03	 Vres: 	2.6252940051e-03	 
Iteration no:	21	 Ures: 	3.3177361817e-03	 Vres: 	2.3949916344e-03	 
Iteration no:	22	 Ures: 	3.1476709361e-03	 Vres: 	2.1634898136e-03	 
Iteration no:	23	 Ures: 	2.9602549916e-03	 Vres: 	1.9386892106e-03	 
Iteration no:	24	 Ures: 	2.7669000474e-03	 Vres: 	1.7279319873e-03	 
Iteration no:	25	 Ures: 	2.5799764732e-03	 Vres: 	1.5375831108e-03	 
Iteration no:	26	 Ures: 	2.4118545890e-03	 Vres: 	1.3724790497e-03	 
Iteration no:	27	 Ures: 	2.2734969460e-03	 Vres: 	1.2352744495e-03	 
Iteration no:	28	 Ures: 	2.1726476123e-03	 Vres: 	1.1258805393e-03	 
Iteration no:	29	 Ures: 	2.1121187119e-03	 Vres: 	1.0413532070e-03	 
Iteration no:	30	 Ures: 	2.0890632863e-03	 Vres: 	9.7652493244e-04	 
Iteration no:	31	 Ures: 	2.0958400577e-03	 Vres: 	9.2527606681e-04	 
Iteration no:	32	 Ures: 	2.1221134886e-03	 Vres: 	8.8193052805e-04	 
Iteration no:	33	 Ures: 	2.1571381039e-03	 Vres: 	8.4225717607e-04	 
Iteration no:	34	 Ures: 	2.1913831501e-03	 Vres: 	8.0389468587e-04	 
Iteration no:	35	 Ures: 	2.2173003135e-03	 Vres: 	7.6631443372e-04	 
Iteration no:	36	 Ures: 	2.2294613531e-03	 Vres: 	7.3051245953e-04	 
Iteration no:	37	 Ures: 	2.2243670438e-03	 Vres: 	6.9855454774e-04	 
Iteration no:	38	 Ures: 	2.2001395506e-03	 Vres: 	6.7301317515e-04	 
Iteration no:	39	 Ures: 	2.1562090279e-03	 Vres: 	6.5631093384e-04	 
Iteration no:	40	 Ures: 	2.0930398971e-03	 Vres: 	6.5005368803e-04	 
Iteration no:	41	 Ures: 	2.0119096434e-03	 Vres: 	6.5454874862e-04	 
Iteration no:	42	 Ures: 	1.9147397473e-03	 Vres: 	6.6871278212e-04	 
Iteration no:	43	 Ures: 	1.8039746180e-03	 Vres: 	6.9039396598e-04	 
Iteration no:	44	 Ures: 	1.6825047593e-03	 Vres: 	7.1690953185e-04	 
Iteration no:	45	 Ures: 	1.5536321701e-03	 Vres: 	7.4554726591e-04	 
Iteration no:	46	 Ures: 	1.4210773297e-03	 Vres: 	7.7389600206e-04	 
Iteration no:	47	 Ures: 	1.2890251212e-03	 Vres: 	8.0000184946e-04	 
Iteration no:	48	 Ures: 	1.1621949073e-03	 Vres: 	8.2240590143e-04	 
Iteration no:	49	 Ures: 	1.0458833352e-03	 Vres: 	8.4011928002e-04	 
Iteration no:	50	 Ures: 	9.4584724342e-04	 Vres: 	8.5257161265e-04	 
Iteration no:	51	 Ures: 	8.6777836301e-04	 Vres: 	8.5955112658e-04	 
Iteration no:	52	 Ures: 	8.1612115235e-04	 Vres: 	8.6114364494e-04	 
Iteration no:	53	 Ures: 	7.9242964373e-04	 Vres: 	8.5767251450e-04	 
Iteration no:	54	 Ures: 	7.9429003247e-04	 Vres: 	8.4963959466e-04	 
Iteration no:	55	 Ures: 	8.1588209152e-04	 Vres: 	8.3766725608e-04	 
Iteration no:	56	 Ures: 	8.4986227623e-04	 Vres: 	8.2244194918e-04	 
Iteration no:	57	 Ures: 	8.8920171865e-04	 Vres: 	8.0466081054e-04	 
Iteration no:	58	 Ures: 	9.2815789506e-04	 Vres: 	7.8498367136e-04	 
Iteration no:	59	 Ures: 	9.6248548358e-04	 Vres: 	7.6399346390e-04	 
Iteration no:	60	 Ures: 	9.8928482680e-04	 Vres: 	7.4216815018e-04	 
Iteration no:	61	 Ures: 	1.0067610196e-03	 Vres: 	7.1986673404e-04	 
Iteration no:	62	 Ures: 	1.0140057348e-03	 Vres: 	6.9733062216e-04	 
Iteration no:	63	 Ures: 	1.0108278916e-03	 Vres: 	6.7469975054e-04	 
Iteration no:	64	 Ures: 	9.9762820846e-04	 Vres: 	6.5204089127e-04	 
Iteration no:	65	 Ures: 	9.7530575989e-04	 Vres: 	6.2938389057e-04	 
Iteration no:	66	 Ures: 	9.4518530403e-04	 Vres: 	6.0676065128e-04	 
Iteration no:	67	 Ures: 	9.0895573133e-04	 Vres: 	5.8424158180e-04	 
Iteration no:	68	 Ures: 	8.6861015581e-04	 Vres: 	5.6196482055e-04	 
Iteration no:	69	 Ures: 	8.2637619685e-04	 Vres: 	5.4015446735e-04	 
Iteration no:	70	 Ures: 	7.8462123953e-04	 Vres: 	5.1912499301e-04	 
Iteration no:	71	 Ures: 	7.4571430301e-04	 Vres: 	4.9926985532e-04	 
Iteration no:	72	 Ures: 	7.1182963411e-04	 Vres: 	4.8103335126e-04	 
Iteration no:	73	 Ures: 	6.8469643395e-04	 Vres: 	4.6486642342e-04	 
Iteration no:	74	 Ures: 	6.6533824049e-04	 Vres: 	4.5117008177e-04	 
Iteration no:	75	 Ures: 	6.5388730555e-04	 Vres: 	4.4023429357e-04	 
Iteration no:	76	 Ures: 	6.4956305984e-04	 Vres: 	4.3218432520e-04	 
Iteration no:	77	 Ures: 	6.5084328317e-04	 Vres: 	4.2694797143e-04	 
Iteration no:	78	 Ures: 	6.5576688243e-04	 Vres: 	4.2425348857e-04	 
Iteration no:	79	 Ures: 	6.6225919449e-04	 Vres: 	4.2365963973e-04	 
Iteration no:	80	 Ures: 	6.6839216860e-04	 Vres: 	4.2460982959e-04	 
Iteration no:	81	 Ures: 	6.7254694669e-04	 Vres: 	4.2649661818e-04	 
Iteration no:	82	 Ures: 	6.7348983004e-04	 Vres: 	4.2872309091e-04	 
Iteration no:	83	 Ures: 	6.7038925843e-04	 Vres: 	4.3075203875e-04	 
Iteration no:	84	 Ures: 	6.6279966747e-04	 Vres: 	4.3213941760e-04	 
Iteration no:	85	 Ures: 	6.5062999089e-04	 Vres: 	4.3255269790e-04	 
Iteration no:	86	 Ures: 	6.3410688094e-04	 Vres: 	4.3177678646e-04	 
Iteration no:	87	 Ures: 	6.1373731569e-04	 Vres: 	4.2971065672e-04	 
Iteration no:	88	 Ures: 	5.9027177890e-04	 Vres: 	4.2635742151e-04	 
Iteration no:	89	 Ures: 	5.6466670735e-04	 Vres: 	4.2180991886e-04	 
Iteration no:	90	 Ures: 	5.3804260930e-04	 Vres: 	4.1623327767e-04	 
Iteration no:	91	 Ures: 	5.1163182915e-04	 Vres: 	4.0984551594e-04	 
Iteration no:	92	 Ures: 	4.8670790835e-04	 Vres: 	4.0289702163e-04	 
Iteration no:	93	 Ures: 	4.6448889079e-04	 Vres: 	3.9564975363e-04	 
Iteration no:	94	 Ures: 	4.4601330863e-04	 Vres: 	3.8835712783e-04	 
Iteration no:	95	 Ures: 	4.3200273358e-04	 Vres: 	3.8124574478e-04	 
Iteration no:	96	 Ures: 	4.2274484518e-04	 Vres: 	3.7450026409e-04	 
Iteration no:	97	 Ures: 	4.1804137245e-04	 Vres: 	3.6825271135e-04	 
Iteration no:	98	 Ures: 	4.1724977474e-04	 Vres: 	3.6257721893e-04	 
Iteration no:	99	 Ures: 	4.1940909044e-04	 Vres: 	3.5749062755e-04	 
Iteration no:	100	 Ures: 	4.2340586662e-04	 Vres: 	3.5295860779e-04	 
Iteration no:	101	 Ures: 	4.2812974996e-04	 Vres: 	3.4890618716e-04	 
Iteration no:	102	 Ures: 	4.3258759990e-04	 Vres: 	3.4523100613e-04	 
Iteration no:	103	 Ures: 	4.3596971657e-04	 Vres: 	3.4181741627e-04	 
Iteration no:	104	 Ures: 	4.3767716474e-04	 Vres: 	3.3854969294e-04	 
Iteration no:	105	 Ures: 	4.3732344198e-04	 Vres: 	3.3532306131e-04	 
Iteration no:	106	 Ures: 	4.3472167803e-04	 Vres: 	3.3205177329e-04	 
Iteration no:	107	 Ures: 	4.2986472531e-04	 Vres: 	3.2867398413e-04	 
Iteration no:	108	 Ures: 	4.2290215643e-04	 Vres: 	3.2515357493e-04	 
Iteration no:	109	 Ures: 	4.1411587179e-04	 Vres: 	3.2147932679e-04	 
Iteration no:	110	 Ures: 	4.0389458156e-04	 Vres: 	3.1766199039e-04	 
Iteration no:	111	 Ures: 	3.9270658596e-04	 Vres: 	3.1372984507e-04	 
Iteration no:	112	 Ures: 	3.8106987903e-04	 Vres: 	3.0972333921e-04	 
Iteration no:	113	 Ures: 	3.6951866468e-04	 Vres: 	3.0568937171e-04	 
Iteration no:	114	 Ures: 	3.5856606757e-04	 Vres: 	3.0167572527e-04	 
Iteration no:	115	 Ures: 	3.4866431397e-04	 Vres: 	2.9772609819e-04	 
Iteration no:	116	 Ures: 	3.4016585352e-04	 Vres: 	2.9387609848e-04	 
Iteration no:	117	 Ures: 	3.3329111603e-04	 Vres: 	2.9015046099e-04	 
Iteration no:	118	 Ures: 	3.2810957928e-04	 Vres: 	2.8656162448e-04	 
Iteration no:	119	 Ures: 	3.2453933100e-04	 Vres: 	2.8310967164e-04	 
Iteration no:	120	 Ures: 	3.2236623673e-04	 Vres: 	2.7978350367e-04	 
Iteration no:	121	 Ures: 	3.2127876096e-04	 Vres: 	2.7656301098e-04	 
Iteration no:	122	 Ures: 	3.2091084675e-04	 Vres: 	2.7342192589e-04	 
Iteration no:	123	 Ures: 	3.2088457582e-04	 Vres: 	2.7033101192e-04	 
Iteration no:	124	 Ures: 	3.2084631769e-04	 Vres: 	2.6726125538e-04	 
Iteration no:	125	 Ures: 	3.2049320781e-04	 Vres: 	2.6418677080e-04	 
